epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.446,2.44712,3.77265,1.57024,0.00189,0.52427,0.00313,0.00106,1.87096,4.04074,1.25667,0.000634921,0.000634921,0.000634921
2,64.2508,2.28338,2.44532,1.45123,0.00123,0.33981,0.00049,0.00016,2.12262,4.42459,1.47552,0.00121568,0.00121568,0.00121568
3,99.2739,2.26208,2.10286,1.53149,0.00214,0.59223,0.0025,0.00095,2.07344,3.8875,1.48525,0.00170844,0.00170844,0.00170844
4,149.523,2.17699,1.97241,1.446,0.0327,0.03883,0.01221,0.00456,2.23725,3.81172,1.56702,0.001604,0.001604,0.001604
5,195.508,2.16263,1.93093,1.45545,0.58679,0.4466,0.47054,0.17444,2.27783,2.50659,1.62613,0.001472,0.001472,0.001472
6,250.54,2.10123,1.83502,1.48469,0.68117,0.48544,0.53019,0.21642,2.14394,2.25548,1.56495,0.00134,0.00134,0.00134
7,316.641,2.09682,1.70531,1.49687,0.58353,0.57282,0.57673,0.23771,2.06756,1.84153,1.50624,0.001208,0.001208,0.001208
8,381.98,1.94933,1.61327,1.4742,0.75787,0.58252,0.67786,0.26322,2.03394,1.82981,1.45487,0.001076,0.001076,0.001076
9,425.376,1.97291,1.55582,1.46583,0.70803,0.67961,0.72272,0.28833,1.99777,1.64441,1.45012,0.000944,0.000944,0.000944
10,468.551,1.97892,1.48474,1.45018,0.87103,0.67961,0.807,0.32947,1.98365,1.41714,1.46027,0.000812,0.000812,0.000812
11,511.205,1.92751,1.39915,1.44657,0.72346,0.69903,0.7412,0.30457,2.01294,1.47712,1.45445,0.00068,0.00068,0.00068
12,555.831,1.91729,1.3651,1.44712,0.8721,0.61165,0.75784,0.29181,2.10259,1.48046,1.4767,0.000548,0.000548,0.000548
13,606.028,1.90447,1.28147,1.40651,0.7835,0.70874,0.76457,0.31134,2.05792,1.39559,1.44145,0.000416,0.000416,0.000416
14,639.068,1.88626,1.25674,1.38632,0.79172,0.73812,0.78646,0.33067,2.01438,1.37134,1.43899,0.000284,0.000284,0.000284
15,672.376,1.80676,1.23576,1.36083,0.84878,0.70842,0.78042,0.33051,1.99786,1.33192,1.42686,0.000152,0.000152,0.000152
